state,yr,qtr,index_nsa,index_sa
AZ,2010,3,181.32,179.51
AZ,2010,4,172.11,172.87
AZ,2011,1,166.1,166.87
AZ,2011,2,162.58,161.38
AZ,2011,3,163.93,162.42
AZ,2011,4,166.36,166.89
AZ,2012,1,172.33,173.24
AZ,2012,2,184.08,182.68
AZ,2012,3,194.58,192.95
AZ,2012,4,197.38,197.85
AZ,2013,1,203.93,205.05
AZ,2013,2,217.14,215.32
AZ,2013,3,221.32,219.71
AZ,2013,4,226.32,226.82
AZ,2014,1,227.48,228.62
AZ,2014,2,232.68,230.6
AZ,2014,3,234,232.59
AZ,2014,4,235.36,235.88
AZ,2015,1,240.34,241.32
AZ,2015,2,246.63,244.37
AZ,2015,3,251.5,250.27
AZ,2015,4,253.46,254.03
AZ,2016,1,257.79,258.5
AZ,2016,2,266.05,263.78
AZ,2016,3,267.56,266.41
AZ,2016,4,272.33,272.91
AZ,2017,1,277.66,278.15
AZ,2017,2,286.37,284.16
AZ,2017,3,291.26,290.05
AZ,2017,4,293.44,293.96
AZ,2018,1,302.5,302.94
AZ,2018,2,309.27,307.1
AZ,2018,3,313.61,312.13
AZ,2018,4,318.85,319.5
AZ,2019,1,321.31,321.76
AZ,2019,2,330.5,328.25
AZ,2019,3,337.57,335.69
AZ,2019,4,344.11,345.06
AZ,2020,1,352.78,353.41
AZ,2020,2,362.08,359.57
AZ,2020,3,376.69,374.05
AZ,2020,4,393.25,394.9
AZ,2021,1,416.26,417.14
AZ,2021,2,449.26,445.89
AZ,2021,3,481.81,477.94
AZ,2021,4,501.13,503.8
AZ,2022,1,529.64,531.04
AZ,2022,2,561.67,557.15
AZ,2022,3,547.78,542.87
AZ,2022,4,531.89,535.25
AZ,2023,1,533.56,535.09
AZ,2023,2,547.46,542.85
AZ,2023,3,558.45,553.24
CA,1991,1,100,100
CA,1991,2,99.71,99.1
CA,1991,3,99.49,98.71
CA,1991,4,99.64,99.05
CA,1992,1,99.09,99.09
CA,1992,2,98.01,97.41
CA,1992,3,97.74,96.94
CA,1992,4,95.96,95.44
CA,1993,1,93.65,93.63
CA,1993,2,92.99,92.43
CA,1993,3,91.61,90.8
CA,1993,4,90.37,89.95
CA,1994,1,88.92,88.9
CA,1994,2,88.66,88.11
CA,1994,3,88.28,87.45
CA,1994,4,87.02,86.71
CA,1995,1,86.25,86.21
CA,1995,2,86.2,85.62
